protein,chain,group,group1,group1,group1,group1,group1,group1,group_old,group3,group1,group6,group4,,protein2,#amino acids,#keys,#keys_with_freq,,percent_threshold,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1
6FOB,A,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Vitamin_D3_Receptor,Nonsteroid,Vitamin_D3_Receptor,1522,6FOB,238,585082,2218636,,100,95,90,85,80,75,70,65,60,55,50
6FOD,A,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Vitamin_D3_Receptor,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,Vitamin_D3_Receptor,Nonsteroid,Vitamin_D3_Receptor,1523,6FOD,239,591347,2246839,,100,95,90,85,80,75,70,65,60,55,50
1OSH,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,59,1OSH,216,549640,1656360,,100,95,90,85,80,75,70,65,60,55,50
1OSV,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,60,1OSV,229,578100,1975354,,100,95,90,85,80,75,70,65,60,55,50
1OT7,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,61,1OT7,229,576396,1975354,,100,95,90,85,80,75,70,65,60,55,50
3BEJ,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,458,3BEJ,224,560355,1848224,,100,95,90,85,80,75,70,65,60,55,50
3DCT,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,480,3DCT,229,572784,1975354,,100,95,90,85,80,75,70,65,60,55,50
3DCU,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,481,3DCU,229,572546,1975354,,100,95,90,85,80,75,70,65,60,55,50
3FLI,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,498,3FLI,221,526346,1774630,,100,95,90,85,80,75,70,65,60,55,50
3FXV,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,503,3FXV,222,563024,1798940,,100,95,90,85,80,75,70,65,60,55,50
3GD2,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,509,3GD2,227,550237,1923825,,100,95,90,85,80,75,70,65,60,55,50
3HC5,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,534,3HC5,229,569997,1975354,,100,95,90,85,80,75,70,65,60,55,50
3HC6,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,535,3HC6,230,554166,2001460,,100,95,90,85,80,75,70,65,60,55,50
3OKH,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,625,3OKH,227,576518,1923825,,100,95,90,85,80,75,70,65,60,55,50
3OKI,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,626,3OKI,230,588745,2001460,,100,95,90,85,80,75,70,65,60,55,50
3OLF,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,627,3OLF,230,589554,2001460,,100,95,90,85,80,75,70,65,60,55,50
3OMK,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,630,3OMK,230,589839,2001460,,100,95,90,85,80,75,70,65,60,55,50
3OMM,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,631,3OMM,230,589605,2001460,,100,95,90,85,80,75,70,65,60,55,50
3OOF,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,635,3OOF,230,585594,2001460,,100,95,90,85,80,75,70,65,60,55,50
3OOK,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,636,3OOK,230,589285,2001460,,100,95,90,85,80,75,70,65,60,55,50
3RUT,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,679,3RUT,229,571390,1975354,,100,95,90,85,80,75,70,65,60,55,50
3RUU,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,680,3RUU,229,568362,1975354,,100,95,90,85,80,75,70,65,60,55,50
3RVF,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,681,3RVF,228,566925,1949476,,100,95,90,85,80,75,70,65,60,55,50
4OIV,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,947,4OIV,210,516053,1521520,,100,95,90,85,80,75,70,65,60,55,50
4QE6,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,972,4QE6,228,580990,1949476,,100,95,90,85,80,75,70,65,60,55,50
4QE8,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,973,4QE8,224,550792,1848224,,100,95,90,85,80,75,70,65,60,55,50
4WVD,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1006,4WVD,210,490549,1521520,,100,95,90,85,80,75,70,65,60,55,50
5IAW,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1184,5IAW,228,578323,1949476,,100,95,90,85,80,75,70,65,60,55,50
5ICK,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1185,5ICK,229,578712,1975354,,100,95,90,85,80,75,70,65,60,55,50
5Q0I,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1281,5Q0I,227,576202,1923825,,100,95,90,85,80,75,70,65,60,55,50
5Q0J,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1282,5Q0J,230,589924,2001460,,100,95,90,85,80,75,70,65,60,55,50
5Q0K,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1283,5Q0K,224,564606,1848224,,100,95,90,85,80,75,70,65,60,55,50
5Q0L,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1284,5Q0L,221,508957,1774630,,100,95,90,85,80,75,70,65,60,55,50
5Q0M,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1285,5Q0M,223,551852,1823471,,100,95,90,85,80,75,70,65,60,55,50
5Q0N,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1286,5Q0N,229,587273,1975354,,100,95,90,85,80,75,70,65,60,55,50
5Q0O,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1287,5Q0O,230,588713,2001460,,100,95,90,85,80,75,70,65,60,55,50
5Q0P,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1288,5Q0P,230,591478,2001460,,100,95,90,85,80,75,70,65,60,55,50
5Q0Q,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1289,5Q0Q,221,534555,1774630,,100,95,90,85,80,75,70,65,60,55,50
5Q0R,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1290,5Q0R,224,562082,1848224,,100,95,90,85,80,75,70,65,60,55,50
5Q0S,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1291,5Q0S,230,587952,2001460,,100,95,90,85,80,75,70,65,60,55,50
5Q0T,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1292,5Q0T,222,542626,1798940,,100,95,90,85,80,75,70,65,60,55,50
5Q0U,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1293,5Q0U,230,589783,2001460,,100,95,90,85,80,75,70,65,60,55,50
5Q0V,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1294,5Q0V,230,588355,2001460,,100,95,90,85,80,75,70,65,60,55,50
5Q0W,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1295,5Q0W,228,592691,1949476,,100,95,90,85,80,75,70,65,60,55,50
5Q0X,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1296,5Q0X,222,562890,1798940,,100,95,90,85,80,75,70,65,60,55,50
5Q0Y,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1297,5Q0Y,230,588651,2001460,,100,95,90,85,80,75,70,65,60,55,50
5Q0Z,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1298,5Q0Z,230,591012,2001460,,100,95,90,85,80,75,70,65,60,55,50
5Q10,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1299,5Q10,227,588359,1923825,,100,95,90,85,80,75,70,65,60,55,50
5Q11,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1300,5Q11,221,538580,1774630,,100,95,90,85,80,75,70,65,60,55,50
5Q12,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1301,5Q12,228,592466,1949476,,100,95,90,85,80,75,70,65,60,55,50
5Q13,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1302,5Q13,232,604688,2054360,,100,95,90,85,80,75,70,65,60,55,50
5Q14,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1303,5Q14,230,590411,2001460,,100,95,90,85,80,75,70,65,60,55,50
5Q15,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1304,5Q15,230,590449,2001460,,100,95,90,85,80,75,70,65,60,55,50
5Q16,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1305,5Q16,230,587997,2001460,,100,95,90,85,80,75,70,65,60,55,50
5Q17,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1306,5Q17,224,556221,1848224,,100,95,90,85,80,75,70,65,60,55,50
5Q18,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1307,5Q18,230,590246,2001460,,100,95,90,85,80,75,70,65,60,55,50
5Q19,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1308,5Q19,230,589008,2001460,,100,95,90,85,80,75,70,65,60,55,50
5Q1A,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1309,5Q1A,230,589527,2001460,,100,95,90,85,80,75,70,65,60,55,50
5Q1B,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1310,5Q1B,230,588824,2001460,,100,95,90,85,80,75,70,65,60,55,50
5Q1C,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1311,5Q1C,229,582852,1975354,,100,95,90,85,80,75,70,65,60,55,50
5Q1D,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1312,5Q1D,230,589710,2001460,,100,95,90,85,80,75,70,65,60,55,50
5Q1E,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1313,5Q1E,224,565027,1848224,,100,95,90,85,80,75,70,65,60,55,50
5Q1F,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1314,5Q1F,229,586092,1975354,,100,95,90,85,80,75,70,65,60,55,50
5Q1G,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1315,5Q1G,224,569978,1848224,,100,95,90,85,80,75,70,65,60,55,50
5Q1H,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1316,5Q1H,229,585407,1975354,,100,95,90,85,80,75,70,65,60,55,50
5Q1I,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1317,5Q1I,227,583654,1923825,,100,95,90,85,80,75,70,65,60,55,50
5WZX,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1431,5WZX,210,509571,1521520,,100,95,90,85,80,75,70,65,60,55,50
5Y1J,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1444,5Y1J,226,558393,1898400,,100,95,90,85,80,75,70,65,60,55,50
5Y44,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1447,5Y44,224,546503,1848224,,100,95,90,85,80,75,70,65,60,55,50
5Y49,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1448,5Y49,224,567969,1848224,,100,95,90,85,80,75,70,65,60,55,50
5YXB,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1459,5YXB,223,564113,1823471,,100,95,90,85,80,75,70,65,60,55,50
5YXD,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1460,5YXD,229,581067,1975354,,100,95,90,85,80,75,70,65,60,55,50
5YXJ,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1461,5YXJ,225,563774,1873200,,100,95,90,85,80,75,70,65,60,55,50
5YXL,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1462,5YXL,220,549870,1750540,,100,95,90,85,80,75,70,65,60,55,50
6A5W,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1473,6A5W,228,552707,1949476,,100,95,90,85,80,75,70,65,60,55,50
6A5X,A,Bile_Acid_Receptor,Bile_Acid_Receptor,Bile_Acid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,1474,6A5X,229,546499,1975354,,100,95,90,85,80,75,70,65,60,55,50
1M2Z,A,Glucocorticoid_Receptor,Glucocorticoid_Receptor,Glucocorticoid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,42,1M2Z,255,710057,2731135,,100,95,90,85,80,75,70,65,60,55,50
1NHZ,A,Glucocorticoid_Receptor,Glucocorticoid_Receptor,Glucocorticoid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,51,1NHZ,239,684499,2246839,,100,95,90,85,80,75,70,65,60,55,50
1P93,A,Glucocorticoid_Receptor,Glucocorticoid_Receptor,Glucocorticoid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,68,1P93,247,666089,2481115,,100,95,90,85,80,75,70,65,60,55,50
3BQD,A,Glucocorticoid_Receptor,Glucocorticoid_Receptor,Glucocorticoid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,462,3BQD,253,694826,2667126,,100,95,90,85,80,75,70,65,60,55,50
3CLD,A,Glucocorticoid_Receptor,Glucocorticoid_Receptor,Glucocorticoid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,467,3CLD,243,660619,2362041,,100,95,90,85,80,75,70,65,60,55,50
3E7C,A,Glucocorticoid_Receptor,Glucocorticoid_Receptor,Glucocorticoid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,488,3E7C,248,680413,2511496,,100,95,90,85,80,75,70,65,60,55,50
3GN8,A,Glucocorticoid_Receptor,Glucocorticoid_Receptor,Glucocorticoid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,511,3GN8,249,651621,2542124,,100,95,90,85,80,75,70,65,60,55,50
3H52,A,Glucocorticoid_Receptor,Glucocorticoid_Receptor,Glucocorticoid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,525,3H52,247,787233,2481115,,100,95,90,85,80,75,70,65,60,55,50
3K22,A,Glucocorticoid_Receptor,Glucocorticoid_Receptor,Glucocorticoid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,553,3K22,250,687976,2573000,,100,95,90,85,80,75,70,65,60,55,50
3K23,A,Glucocorticoid_Receptor,Glucocorticoid_Receptor,Glucocorticoid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,554,3K23,245,670996,2421090,,100,95,90,85,80,75,70,65,60,55,50
3MNE,A,Glucocorticoid_Receptor,Glucocorticoid_Receptor,Glucocorticoid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,593,3MNE,253,697839,2667126,,100,95,90,85,80,75,70,65,60,55,50
3MNO,A,Glucocorticoid_Receptor,Glucocorticoid_Receptor,Glucocorticoid_Receptor,Nonsex,Nonsex,Steroid_Hormone,Steroid_Hormone,Nuclear_Receptor,Receptor,Nonsex,Steroid,Steroid_Hormone,594,3MNO,255,703352,2731135,,100,95,90,85,80,75,70,65,60,55,50
